target,num_features,total_actives,total_decoys,returned_actives,returned_decoys,ratio_factor,return_perc,EF0.5,EF1,EF2,,,,,
akt1,5,423,16576,134,757,6.94,5.2%,13.71,11.11,9.22,,,,,
akt1,4,423,16576,191,3501,2.14,21.7%,5.67,6.62,5.32,,,,,
akt1,3,423,16576,167,4811,1.36,29.3%,7.57,5.20,2.84,,,,,
cp3a4,5,363,11940,2,335,0.20,2.7%,0.55,0.28,0.28,,,,,
cp3a4,4,363,11940,41,3069,0.44,25.3%,2.20,1.93,1.10,,,,,
cp3a4,3,363,11940,52,3859,0.44,31.8%,0.00,0.28,0.28,,,,,
gcr,5,563,15185,1,37,0.73,0.2%,0.36,0.18,0.09,,,,,
gcr,4,563,15185,37,854,1.17,5.7%,0.71,1.24,1.78,,,,,
gcr,3,563,15185,152,7060,0.58,45.8%,0.36,0.36,0.44,,,,,
hivrt,5,639,19134,7,76,2.76,0.4%,2.19,1.10,0.55,,,,,
hivrt,4,639,19134,117,1881,1.86,10.1%,6.26,5.16,4.46,,,,,
hivrt,3,639,19134,161,4384,1.10,23.0%,2.19,4.38,3.44,,,,,
kif11,5,197,6912,38,1019,1.31,14.9%,0.00,0.00,0.76,,,,,
kif11,4,197,6912,91,3322,0.96,48.0%,1.02,0.51,0.51,,,,,
kif11,3,197,6912,92,4840,0.67,69.4%,0.00,0.00,0.00,,,,,
